"entity_id","owner_id","type","pid","shared_cost","repair_cost","water_level","temperature"
"heater-43","settlement","heater","20084","0","0","",""
"kettle-43","settlement","kettle","20085","0","0","",""
"civilian-43","settlement","civilian","30042","0","0","",""
"house-44","owner-house-44","house","10043","0","500","0","-9.989946026122198"
"heater-44","settlement","heater","20086","0","0","",""
"kettle-44","settlement","kettle","20087","0","0","",""
"civilian-44","settlement","civilian","30043","0","0","",""
"house-45","owner-house-45","house","10044","0","500","0","-9.919162619393319"
"heater-45","settlement","heater","20088","0","0","",""
"kettle-45","settlement","kettle","20089","0","0","",""
"civilian-45","settlement","civilian","30044","0","0","",""
"house-46","owner-house-46","house","10045","0","500","0","-8.90139461774379"
"heater-46","settlement","heater","20090","0","0","",""
"kettle-46","settlement","kettle","20091","0","0","",""
"civilian-46","settlement","civilian","30045","0","0","",""
"house-47","owner-house-47","house","10046","0","500","0","-9.628264482365921"
"heater-47","settlement","heater","20092","0","0","",""
"kettle-47","settlement","kettle","20093","0","0","",""
"civilian-47","settlement","civilian","30046","0","0","",""
"house-48","owner-house-48","house","10047","0","500","0","-9.033954225247726"
"heater-48","settlement","heater","20094","0","0","",""
"kettle-48","settlement","kettle","20095","0","0","",""
"civilian-48","settlement","civilian","30047","0","0","",""
"house-49","owner-house-49","house","10048","0","500","0","-9.185459598433226"
"heater-49","settlement","heater","20096","0","0","",""
"kettle-49","settlement","kettle","20097","0","0","",""
"civilian-49","settlement","civilian","30048","0","0","",""
"house-50","owner-house-50","house","10049","0","500","0","-10"
"heater-50","settlement","heater","20098","0","0","",""
"kettle-50","settlement","kettle","20099","0","0","",""
"civilian-50","settlement","civilian","30049","0","0","",""
"house-51","owner-house-51","house","10050","0","500","0","-9.798607092350721"
"heater-51","settlement","heater","20100","0","0","",""
"kettle-51","settlement","kettle","20101","0","0","",""
"civilian-51","settlement","civilian","30050","0","0","",""
"house-52","owner-house-52","house","10051","0","500","0","-9.503869819105603"
"heater-52","settlement","heater","20102","0","0","",""
"kettle-52","settlement","kettle","20103","0","0","",""
"civilian-52","settlement","civilian","30051","0","0","",""
"house-53","owner-house-53","house","10052","0","500","0","-9.31213626684621"
"heater-53","settlement","heater","20104","0","0","",""
"kettle-53","settlement","kettle","20105","0","0","",""
"civilian-53","settlement","civilian","30052","0","0","",""
"house-54","owner-house-54","house","10053","0","500","0","-9.846622189390473"
"heater-54","settlement","heater","20106","0","0","",""
"kettle-54","settlement","kettle","20107","0","0","",""
"civilian-54","settlement","civilian","30053","0","0","",""
"house-55","owner-house-55","house","10054","0","500","0","-9.663038515485823"
"heater-55","settlement","heater","20108","0","0","",""
"kettle-55","settlement","kettle","20109","0","0","",""
"civilian-55","settlement","civilian","30054","0","0","",""
"house-56","owner-house-56","house","10055","0","500","0","-9.330903902184218"
"heater-56","settlement","heater","20110","0","0","",""
"kettle-56","settlement","kettle","20111","0","0","",""
"civilian-56","settlement","civilian","30055","0","0","",""
"house-57","owner-house-57","house","10056","0","500","0","-9.755918882321566"
"heater-57","settlement","heater","20112","0","0","",""
"kettle-57","settlement","kettle","20113","0","0","",""
"civilian-57","settlement","civilian","30056","0","0","",""
"house-58","owner-house-58","house","10057","0","500","0","-10"
"heater-58","settlement","heater","20114","0","0","",""
"kettle-58","settlement","kettle","20115","0","0","",""
"civilian-58","settlement","civilian","30057","0","0","",""
"house-59","owner-house-59","house","10058","0","500","0","-9.493012418970466"
"heater-59","settlement","heater","20116","0","0","",""
"kettle-59","settlement","kettle","20117","0","0","",""
"civilian-59","settlement","civilian","30058","0","0","",""
"house-60","owner-house-60","house","10059","0","500","0","-9.683796176221222"
"heater-60","settlement","heater","20118","0","0","",""
"kettle-60","settlement","kettle","20119","0","0","",""
"civilian-60","settlement","civilian","30059","0","0","",""
"house-61","owner-house-61","house","10060","0","500","0","-9.04773726919666"
"heater-61","settlement","heater","20120","0","0","",""
"kettle-61","settlement","kettle","20121","0","0","",""
"civilian-61","settlement","civilian","30060","0","0","",""
"house-62","owner-house-62","house","10061","0","500","0","-9.827238229336217"
"heater-62","settlement","heater","20122","0","0","",""
"kettle-62","settlement","kettle","20123","0","0","",""
"civilian-62","settlement","civilian","30061","0","0","",""
"house-63","owner-house-63","house","10062","0","500","0","-9.590597151778638"
"heater-63","settlement","heater","20124","0","0","",""
"kettle-63","settlement","kettle","20125","0","0","",""
"civilian-63","settlement","civilian","30062","0","0","",""
"house-64","owner-house-64","house","10063","0","500","0","-9.809437166084535"
"heater-64","settlement","heater","20126","0","0","",""
"kettle-64","settlement","kettle","20127","0","0","",""
"civilian-64","settlement","civilian","30063","0","0","",""
"house-65","owner-house-65","house","10064","0","500","0","-9.633919297717512"
"heater-65","settlement","heater","20128","0","0","",""
"kettle-65","settlement","kettle","20129","0","0","",""
"civilian-65","settlement","civilian","30064","0","0","",""
"house-66","owner-house-66","house","10065","0","500","0","-9.897007459192537"
"heater-66","settlement","heater","20130","0","0","",""
"kettle-66","settlement","kettle","20131","0","0","",""
"civilian-66","settlement","civilian","30065","0","0","",""
"house-67","owner-house-67","house","10066","0","500","0","-9.969937570160255"
"heater-67","settlement","heater","20132","0","0","",""
"kettle-67","settlement","kettle","20133","0","0","",""
"civilian-67","settlement","civilian","30066","0","0","",""
"house-68","owner-house-68","house","10067","0","500","0","-9.618064138339832"
"heater-68","settlement","heater","20134","0","0","",""
"kettle-68","settlement","kettle","20135","0","0","",""
"civilian-68","settlement","civilian","30067","0","0","",""
"house-69","owner-house-69","house","10068","0","500","0","-9.620341074187309"
"heater-69","settlement","heater","20136","0","0","",""
"kettle-69","settlement","kettle","20137","0","0","",""
"civilian-69","settlement","civilian","30068","0","0","",""
"house-70","owner-house-70","house","10069","0","500","0","-9.943199442932382"
"heater-70","settlement","heater","20138","0","0","",""
"kettle-70","settlement","kettle","20139","0","0","",""
"civilian-70","settlement","civilian","30069","0","0","",""
"house-71","owner-house-71","house","10070","0","500","0","-9.612336886115372"
"heater-71","settlement","heater","20140","0","0","",""
"kettle-71","settlement","kettle","20141","0","0","",""
"civilian-71","settlement","civilian","30070","0","0","",""
"house-72","owner-house-72","house","10071","0","500","0","-9.312128050019965"
"heater-72","settlement","heater","20142","0","0","",""
"kettle-72","settlement","kettle","20143","0","0","",""
"civilian-72","settlement","civilian","30071","0","0","",""
"house-73","owner-house-73","house","10072","0","500","0","-9.59856086736545"
"heater-73","settlement","heater","20144","0","0","",""
"kettle-73","settlement","kettle","20145","0","0","",""
"civilian-73","settlement","civilian","30072","0","0","",""
"house-74","owner-house-74","house","10073","0","500","0","-9.703202641801909"
"heater-74","settlement","heater","20146","0","0","",""
"kettle-74","settlement","kettle","20147","0","0","",""
"civilian-74","settlement","civilian","30073","0","0","",""
"house-75","owner-house-75","house","10074","0","500","0","-9.556493002688512"
"heater-75","settlement","heater","20148","0","0","",""
"kettle-75","settlement","kettle","20149","0","0","",""
"civilian-75","settlement","civilian","30074","0","0","",""
"house-76","owner-house-76","house","10075","0","500","0","-9.931048559839837"
"heater-76","settlement","heater","20150","0","0","",""
"kettle-76","settlement","kettle","20151","0","0","",""
"civilian-76","settlement","civilian","30075","0","0","",""
"house-77","owner-house-77","house","10076","0","500","0","-9.820029953494668"
"heater-77","settlement","heater","20152","0","0","",""
"kettle-77","settlement","kettle","20153","0","0","",""
"civilian-77","settlement","civilian","30076","0","0","",""
"house-78","owner-house-78","house","10077","0","500","0","-10"
"heater-78","settlement","heater","20154","0","0","",""
"kettle-78","settlement","kettle","20155","0","0","",""
"civilian-78","settlement","civilian","30077","0","0","",""
"house-79","owner-house-79","house","10078","0","500","0","-9.8737951007206"
"heater-79","settlement","heater","20156","0","0","",""
"kettle-79","settlement","kettle","20157","0","0","",""
"civilian-79","settlement","civilian","30078","0","0","",""
"house-80","owner-house-80","house","10079","0","500","0","-9.912548268795945"
"heater-80","settlement","heater","20158","0","0","",""
"kettle-80","settlement","kettle","20159","0","0","",""
"civilian-80","settlement","civilian","30079","0","0","",""
"house-81","owner-house-81","house","10080","0","500","0","-9.951394987758249"
"heater-81","settlement","heater","20160","0","0","",""
"kettle-81","settlement","kettle","20161","0","0","",""
"civilian-81","settlement","civilian","30080","0","0","",""
"house-82","owner-house-82","house","10081","0","500","0","-9.648904548608698"
"heater-82","settlement","heater","20162","0","0","",""
"kettle-82","settlement","kettle","20163","0","0","",""
"civilian-82","settlement","civilian","30081","0","0","",""
"house-83","owner-house-83","house","10082","0","500","0","-9.395378094166517"
"heater-83","settlement","heater","20164","0","0","",""
"kettle-83","settlement","kettle","20165","0","0","",""
"civilian-83","settlement","civilian","30082","0","0","",""
"house-84","owner-house-84","house","10083","0","500","0","-9.92613331018947"
"heater-84","settlement","heater","20166","0","0","",""
"kettle-84","settlement","kettle","20167","0","0","",""
"civilian-84","settlement","civilian","30083","0","0","",""
"house-85","owner-house-85","house","10084","0","500","0","-9.540070300921798"
"heater-85","settlement","heater","20168","0","0","",""
"kettle-85","settlement","kettle","20169","0","0","",""
"civilian-85","settlement","civilian","30084","0","0","",""
"house-86","owner-house-86","house","10085","0","500","0","-9.894667127984576"
"heater-86","settlement","heater","20170","0","0","",""
"kettle-86","settlement","kettle","20171","0","0","",""
"civilian-86","settlement","civilian","30085","0","0","",""
"house-87","owner-house-87","house","10086","0","500","0","-9.575463515007868"
"heater-87","settlement","heater","20172","0","0","",""
"kettle-87","settlement","kettle","20173","0","0","",""
"civilian-87","settlement","civilian","30086","0","0","",""
"house-88","owner-house-88","house","10087","0","500","0","-9.437665498815477"
"heater-88","settlement","heater","20174","0","0","",""
"kettle-88","settlement","kettle","20175","0","0","",""
"civilian-88","settlement","civilian","30087","0","0","",""
"house-89","owner-house-89","house","10088","0","500","0","-9.821071507874876"
"heater-89","settlement","heater","20176","0","0","",""
"kettle-89","settlement","kettle","20177","0","0","",""
"civilian-89","settlement","civilian","30088","0","0","",""
"house-90","owner-house-90","house","10089","0","500","0","-9.760644349153154"
"heater-90","settlement","heater","20178","0","0","",""
"kettle-90","settlement","kettle","20179","0","0","",""
"civilian-90","settlement","civilian","30089","0","0","",""
"house-91","owner-house-91","house","10090","0","500","0","-9.95588436536491"
"heater-91","settlement","heater","20180","0","0","",""
"kettle-91","settlement","kettle","20181","0","0","",""
"civilian-91","settlement","civilian","30090","0","0","",""
"house-92","owner-house-92","house","10091","0","500","0","-9.73005041491706"
"heater-92","settlement","heater","20182","0","0","",""
"kettle-92","settlement","kettle","20183","0","0","",""
"civilian-92","settlement","civilian","30091","0","0","",""
"house-93","owner-house-93","house","10092","0","500","0","-10"
"heater-93","settlement","heater","20184","0","0","",""
"kettle-93","settlement","kettle","20185","0","0","",""
"civilian-93","settlement","civilian","30092","0","0","",""
"house-94","owner-house-94","house","10093","0","500","0","-10"
"heater-94","settlement","heater","20186","0","0","",""
"kettle-94","settlement","kettle","20187","0","0","",""
"civilian-94","settlement","civilian","30093","0","0","",""
"house-95","owner-house-95","house","10094","0","500","0","-9.797822137596086"
"heater-95","settlement","heater","20188","0","0","",""
"kettle-95","settlement","kettle","20189","0","0","",""
"civilian-95","settlement","civilian","30094","0","0","",""
"house-96","owner-house-96","house","10095","0","500","0","-9.76476462406572"
"heater-96","settlement","heater","20190","0","0","",""
"kettle-96","settlement","kettle","20191","0","0","",""
"civilian-96","settlement","civilian","30095","0","0","",""
"house-97","owner-house-97","house","10096","0","500","0","-9.474541341885924"
"heater-97","settlement","heater","20192","0","0","",""
"kettle-97","settlement","kettle","20193","0","0","",""
"civilian-97","settlement","civilian","30096","0","0","",""
"house-98","owner-house-98","house","10097","0","500","0","-9.85278041625861"
"heater-98","settlement","heater","20194","0","0","",""
"kettle-98","settlement","kettle","20195","0","0","",""
"civilian-98","settlement","civilian","30097","0","0","",""
"house-99","owner-house-99","house","10098","0","500","0","-9.511045516235754"
"heater-99","settlement","heater","20196","0","0","",""
"kettle-99","settlement","kettle","20197","0","0","",""
"civilian-99","settlement","civilian","30098","0","0","",""
"house-100","owner-house-100","house","10099","0","500","0","-9.302990899072029"
"heater-100","settlement","heater","20198","0","0","",""
"kettle-100","settlement","kettle","20199","0","0","",""
"civilian-100","settlement","civilian","30099","0","0","",""
"house-101","owner-house-101","house","10100","0","500","0","-9.887503636069596"
"heater-101","settlement","heater","20200","0","0","",""
"kettle-101","settlement","kettle","20201","0","0","",""
"civilian-101","settlement","civilian","30100","0","0","",""
"house-102","owner-house-102","house","10101","0","500","0","-8.941323912935331"
"heater-102","settlement","heater","20202","0","0","",""
"kettle-102","settlement","kettle","20203","0","0","",""
"civilian-102","settlement","civilian","30101","0","0","",""
"house-103","owner-house-103","house","10102","0","500","0","-9.345225148135796"
"heater-103","settlement","heater","20204","0","0","",""
"kettle-103","settlement","kettle","20205","0","0","",""
"civilian-103","settlement","civilian","30102","0","0","",""
"house-104","owner-house-104","house","10103","0","500","0","-9.775577745167539"
"heater-104","settlement","heater","20206","0","0","",""
"kettle-104","settlement","kettle","20207","0","0","",""
"civilian-104","settlement","civilian","30103","0","0","",""
"house-105","owner-house-105","house","10104","0","500","0","-9.673929775133729"
"heater-105","settlement","heater","20208","0","0","",""
"kettle-105","settlement","kettle","20209","0","0","",""
"civilian-105","settlement","civilian","30104","0","0","",""
"house-106","owner-house-106","house","10105","0","500","0","-9.738770638708957"
"heater-106","settlement","heater","20210","0","0","",""
"kettle-106","settlement","kettle","20211","0","0","",""
"civilian-106","settlement","civilian","30105","0","0","",""
"house-107","owner-house-107","house","10106","0","500","0","-9.77216923609376"
"heater-107","settlement","heater","20212","0","0","",""
"kettle-107","settlement","kettle","20213","0","0","",""
"civilian-107","settlement","civilian","30106","0","0","",""
"house-108","owner-house-108","house","10107","0","500","0","-9.921456666779704"
"heater-108","settlement","heater","20214","0","0","",""
"kettle-108","settlement","kettle","20215","0","0","",""
"civilian-108","settlement","civilian","30107","0","0","",""
"house-109","owner-house-109","house","10108","0","500","0","-10"
"heater-109","settlement","heater","20216","0","0","",""
"kettle-109","settlement","kettle","20217","0","0","",""
"civilian-109","settlement","civilian","30108","0","0","",""
"house-110","owner-house-110","house","10109","0","500","0","-9.898554662126116"
"heater-110","settlement","heater","20218","0","0","",""
"kettle-110","settlement","kettle","20219","0","0","",""
"civilian-110","settlement","civilian","30109","0","0","",""
"house-111","owner-house-111","house","10110","0","500","0","-9.712841287255287"
"heater-111","settlement","heater","20220","0","0","",""
"kettle-111","settlement","kettle","20221","0","0","",""
"civilian-111","settlement","civilian","30110","0","0","",""
"house-112","owner-house-112","house","10111","0","500","0","-9.8094859655248"
"heater-112","settlement","heater","20222","0","0","",""
"kettle-112","settlement","kettle","20223","0","0","",""
"civilian-112","settlement","civilian","30111","0","0","",""
"house-113","owner-house-113","house","10112","0","500","0","-9.89633697224781"
"heater-113","settlement","heater","20224","0","0","",""
"kettle-113","settlement","kettle","20225","0","0","",""
"civilian-113","settlement","civilian","30112","0","0","",""
"house-114","owner-house-114","house","10113","0","500","0","-9.824304234585725"
"heater-114","settlement","heater","20226","0","0","",""
"kettle-114","settlement","kettle","20227","0","0","",""
"civilian-114","settlement","civilian","30113","0","0","",""
"house-115","owner-house-115","house","10114","0","500","0","-10"
"heater-115","settlement","heater","20228","0","0","",""
"kettle-115","settlement","kettle","20229","0","0","",""
"civilian-115","settlement","civilian","30114","0","0","",""
"house-116","owner-house-116","house","10115","0","500","0","-9.896263552596793"
"heater-116","settlement","heater","20230","0","0","",""
"kettle-116","settlement","kettle","20231","0","0","",""
"civilian-116","settlement","civilian","30115","0","0","",""
"house-117","owner-house-117","house","10116","0","500","0","-10"
"heater-117","settlement","heater","20232","0","0","",""
"kettle-117","settlement","kettle","20233","0","0","",""
"civilian-117","settlement","civilian","30116","0","0","",""
"house-118","owner-house-118","house","10117","0","500","0","-9.895180461811833"
"heater-118","settlement","heater","20234","0","0","",""
"kettle-118","settlement","kettle","20235","0","0","",""
"civilian-118","settlement","civilian","30117","0","0","",""
"house-119","owner-house-119","house","10118","0","500","0","-10"
"heater-119","settlement","heater","20236","0","0","",""
"kettle-119","settlement","kettle","20237","0","0","",""
"civilian-119","settlement","civilian","30118","0","0","",""
"house-120","owner-house-120","house","10119","0","500","0","-9.299466682830825"
"heater-120","settlement","heater","20238","0","0","",""
"kettle-120","settlement","kettle","20239","0","0","",""
"civilian-120","settlement","civilian","30119","0","0","",""
"house-121","owner-house-121","house","10120","0","500","0","-10"
"heater-121","settlement","heater","20240","0","0","",""
"kettle-121","settlement","kettle","20241","0","0","",""
"civilian-121","settlement","civilian","30120","0","0","",""
"house-122","owner-house-122","house","10121","0","500","0","-9.93747550889384"
"heater-122","settlement","heater","20242","0","0","",""
"kettle-122","settlement","kettle","20243","0","0","",""
"civilian-122","settlement","civilian","30121","0","0","",""
"house-123","owner-house-123","house","10122","0","500","0","-10"
"heater-123","settlement","heater","20244","0","0","",""
"kettle-123","settlement","kettle","20245","0","0","",""
"civilian-123","settlement","civilian","30122","0","0","",""
"house-124","owner-house-124","house","10123","0","500","0","-9.58993890392594"
"heater-124","settlement","heater","20246","0","0","",""
"kettle-124","settlement","kettle","20247","0","0","",""
"civilian-124","settlement","civilian","30123","0","0","",""
"house-125","owner-house-125","house","10124","0","500","0","-9.800025447737426"
"heater-125","settlement","heater","20248","0","0","",""
"kettle-125","settlement","kettle","20249","0","0","",""
"civilian-125","settlement","civilian","30124","0","0","",""
"house-126","owner-house-126","house","10125","0","500","0","-9.232349795522168"
"heater-126","settlement","heater","20250","0","0","",""
"kettle-126","settlement","kettle","20251","0","0","",""
"civilian-126","settlement","civilian","30125","0","0","",""
"house-127","owner-house-127","house","10126","0","500","0","-9.230947899632156"
"heater-127","settlement","heater","20252","0","0","",""
"kettle-127","settlement","kettle","20253","0","0","",""
"civilian-127","settlement","civilian","30126","0","0","",""
"house-128","owner-house-128","house","10127","0","500","0","-9.753305780817755"
"heater-128","settlement","heater","20254","0","0","",""
"kettle-128","settlement","kettle","20255","0","0","",""
"civilian-128","settlement","civilian","30127","0","0","",""
"house-129","owner-house-129","house","10128","0","500","0","-9.424007708672434"
"heater-129","settlement","heater","20256","0","0","",""
"kettle-129","settlement","kettle","20257","0","0","",""
"civilian-129","settlement","civilian","30128","0","0","",""
"house-130","owner-house-130","house","10129","0","500","0","-9.984143337467685"
"heater-130","settlement","heater","20258","0","0","",""
"kettle-130","settlement","kettle","20259","0","0","",""
"civilian-130","settlement","civilian","30129","0","0","",""
"house-131","owner-house-131","house","10130","0","500","0","-9.716466063633561"
"heater-131","settlement","heater","20260","0","0","",""
"kettle-131","settlement","kettle","20261","0","0","",""
"civilian-131","settlement","civilian","30130","0","0","",""
"house-132","owner-house-132","house","10131","0","500","0","-9.398671311093494"
"heater-132","settlement","heater","20262","0","0","",""
"kettle-132","settlement","kettle","20263","0","0","",""
"civilian-132","settlement","civilian","30131","0","0","",""
"house-133","owner-house-133","house","10132","0","500","0","-9.196982210036367"
